date,max_temp,min_temp
2026-08-25,9.9,6.9
2026-08-26,7.9,4.4
2026-08-27,10.6,6.7
2026-08-28,9.6,6.3
2026-08-29,9.3,5.8
2026-08-30,8.7,6.3
2026-08-31,10.7,5.6
